idx,Q,GOLD,PRED,EM,F1,BiA,BiQ,CrA,CrQ,BEM,PA,LJ,LJ_label
103,What negative feelings might Matt experience?,Frustration and regret.,"Guilt, disappointment, stress, and anxiety",0,0.25,0.6811,0.9177,0.0908,0.1271,0.9785,0.9785,1.0,EQUIVALENT
104,What fear does Sarah experience during the fire?,Fear for her own safety.,Sarah experiences a fear for her own safety during the fire.,0,0.5,0.6634,0.9301,0.1246,0.1943,0.9895,0.9895,1.0,EQUIVALENT
105,How does Sarah feel about community response to the fire?,Proud of their bravery.,"Based on the given information, it is not possible to determine Sarah's feelings about the community response to the fire.",0,0.0,0.0011,0.7793,0.0034,0.1064,0.1741,0.1741,0.0,NOT_EQUIVALENT
106,What guilt does Sarah feel after hesitating?,Guilt for not saving her dog sooner.,"Sarah feels guilt for hesitating to save her dog during the fire, driven by her love for the pet and the potential danger her initial reluctance could have posed to the animal's life.",0,0.2,0.6862,0.8843,0.1353,0.1521,0.8457,0.4905,1.0,EQUIVALENT
107,What fear does Emma experience about sharing her artwork?,Fear of judgment.,Emma fears negative judgment or criticism from Jake about her artwork.,0,0.0,0.4231,0.9261,0.1165,0.1574,0.9866,0.9866,1.0,EQUIVALENT
108,What hope does Emma have regarding her artwork?,Hope for acceptance.,"Emma hopes for acceptance and validation of her artwork from Jake, which would enhance her self-esteem and deepen their friendship.",0,0.087,0.383,0.8432,0.0986,0.1365,0.9875,0.9875,1.0,EQUIVALENT
109,How disappointed is Mark about the lost package?,Very disappointed.,Mark is highly disappointed about the lost package due to the emotional and financial implications it has caused him.,0,0.0,0.4014,0.8808,0.0798,0.1445,0.9889,0.9889,1.0,EQUIVALENT
110,How secure does Mark feel about the refund process?,Not secure at all.,Mark likely does not feel secure about the refund process due to his anxiety and frustration over the lost package and his concerns about the service's handling of the situation.,0,0.1176,0.2681,0.8453,0.0735,0.1283,0.9775,0.9775,1.0,EQUIVALENT
111,How angry is Mark about the service failure?,Quite angry.,"Mark is likely very angry about the service failure due to his anxiety, frustration, and concern over the refund process.",0,0.0,0.3528,0.9042,0.0985,0.1324,0.9892,0.9892,1.0,EQUIVALENT
112,How disappointed is Lisa about her exam failure?,Very disappointed.,Lisa is highly disappointed about her exam failure.,0,0.0,0.3999,0.978,0.1073,0.1925,0.9891,0.9891,1.0,EQUIVALENT
113,What hope does Lisa have after her failure?,She hopes to learn from it.,"Lisa hopes to view her failure as a learning experience that can help her grow and improve, rather than a permanent failure that defines her academic abilities.",0,0.1212,0.4504,0.8643,0.1332,0.1603,0.8156,0.8156,1.0,EQUIVALENT
114,How does Lisa feel about her self-esteem after failing?,Her self-esteem is low.,Lisa feels her self-esteem has significantly diminished after failing her final exam.,0,0.25,0.5299,0.8961,0.1059,0.1614,0.7814,0.7814,0.5,PARTIAL
115,How angry is Emily about Jake smoking?,Very angry.,"Emily is likely experiencing a significant level of anger or frustration about Jake smoking, driven by her concern for his health and the perceived lack of understanding or disregard for the harmful effects of smoking.",0,0.0,0.2521,0.9181,0.1054,0.1516,0.7484,0.7484,1.0,EQUIVALENT
116,What fears does Emily have regarding Jake's smoking?,Health concerns.,"Emily fears that Jake may not be aware of the potential health risks associated with smoking, such as lung cancer, heart disease, and respiratory problems.",0,0.0741,0.4297,0.8803,0.0758,0.1404,0.9764,0.9764,1.0,EQUIVALENT
117,Is Emily disappointed in her social circle's smoking habits?,"Yes, she feels let down.","Yes, Emily is disappointed in her social circle's smoking habits, as her concern for Jake's health and her questioning of his lack of awareness reflect a broader dissatisfaction with the normalization of smoking within their group.",0,0.0488,0.2605,0.9104,0.1181,0.1347,0.7226,0.4203,1.0,EQUIVALENT
118,How does Emma feel about her abilities without Jack?,She feels inadequate.,Emma feels insecure and lacks confidence in her abilities without Jack.,0,0.1429,0.4559,0.9451,0.0895,0.1699,0.7143,0.7143,1.0,EQUIVALENT
119,What does Emma doubt about her future success?,She doubts her capability to succeed.,"Emma doubts her future success in the absence of her mentor, Jack, due to her anxiety and self-doubt.",0,0.25,0.5999,0.8962,0.1159,0.1367,0.9824,0.9824,1.0,EQUIVALENT
120,How secure does Alex feel at home?,Very insecure.,"Alex may not feel secure at home, as his anxiety and withdrawal suggest potential underlying issues that could be related to his personal or family life. However, further investigation is needed to understand the exact reasons behind his feelings.",0,0.0,0.4076,0.8466,0.0871,0.1152,0.8981,0.8981,0.0,NOT_EQUIVALENT
121,How confident is Alex in his academic abilities?,Not confident.,"Given the observed signs of withdrawal and anxiety, it is likely that Alex's confidence in his academic abilities is low. However, a more accurate assessment would require direct communication with Alex to understand his self-perception and feelings about his academic performance.",0,0.0,0.3244,0.8747,0.1083,0.1295,0.5727,0.3405,0.0,NOT_EQUIVALENT
122,What fears might Alex have regarding school?,Fear of failure.,"Alex may fear that his poor grades could lead to negative consequences such as disappointing his parents or teachers, struggling academically, or not being able to compete with his peers. He might also be concerned about not having the necessary support at home to manage these pressures and succeed in school.",0,0.037,0.3438,0.8779,0.1066,0.1326,0.9754,0.9754,0.5,PARTIAL
123,How does Emma view her move's impact on her identity?,Very significant.,"Emma views her move's impact on her identity as negative, as it has caused her to feel lost and question her purpose, leading to a struggle with her sense of self and belonging.",0,0.0,0.0986,0.8435,0.0632,0.1325,0.7291,0.7291,0.0,NOT_EQUIVALENT
124,How does Emma's move affect her self-esteem?,She feels diminished.,"Emma's self-esteem is negatively affected due to the challenges of adapting to a new environment, feeling isolated without a known support system, and the pressure to quickly establish her identity, leading to self-doubt and questioning her purpose.",0,0.0,0.454,0.9254,0.0666,0.1311,0.7527,0.7527,0.5,PARTIAL
125,What fears does Emma have about her new life?,Fear of isolation.,"Emma fears feeling lost and questioning her purpose in her new life, as she grapples with the uncertainty and unfamiliarity of her new environment, which can exacacerbate her struggle with identity and lead to feelings of isolation.",0,0.1,0.5023,0.8504,0.1158,0.1616,0.9867,0.9867,1.0,EQUIVALENT
126,How does Emily feel about her life compared to Sarah's?,Very negative.,Emily feels inferior and dissatisfied with her own life compared to Sarah's.,0,0.0,0.1443,0.9039,0.0486,0.1768,0.5043,0.5043,1.0,EQUIVALENT
127,What does Emily think about her own success?,She feels inadequate.,Emily believes her own success is lacking and feels inadequate due to her constant comparison with Sarah's idealized social media portrayal.,0,0.0833,0.5377,0.8452,0.0987,0.1314,0.9887,0.9887,1.0,EQUIVALENT
128,Does Emily feel hopeful about her future?,Not at all.,"No, Emily does not feel hopeful about her future.",0,0.1667,0.2259,0.9678,0.077,0.1899,0.967,0.967,1.0,EQUIVALENT
129,How does Emily feel about her achievements?,She feels inadequate.,Emily feels insecure and possibly inferior about her achievements.,0,0.1667,0.4533,0.9095,0.1167,0.1625,0.6818,0.6818,1.0,EQUIVALENT
130,What is Emily's overall emotional state?,She feels negative.,Anxiety and insecurity,0,0.0,0.2221,0.843,0.05,0.1072,0.2246,0.2246,1.0,EQUIVALENT
131,How does Emily view her peers' successes?,She feels envious.,"Emily perceives her peers' successes as intimidating and a benchmark for her own achievements, causing her to feel anxious and question her own progress and worth.",0,0.0,0.3083,0.8269,0.0611,0.1341,0.5956,0.5956,0.5,PARTIAL
132,How does Emily feel about her self-esteem?,It's low.,Emily likely has low self-esteem due to her feelings of inadequacy and desire to be as popular as her friend Sarah.,0,0.0,0.235,0.8723,0.0761,0.1296,0.9817,0.9817,1.0,EQUIVALENT
133,Does Emily feel connected to others at the party?,"No, she feels isolated.","No, Emily does not feel fully connected to others at the party, as she feels overshadowed by Sarah's popularity and wishes to be as liked as her.",0,0.1935,0.4654,0.9096,0.0849,0.1236,0.8047,0.8047,0.5,PARTIAL
134,What is Emily's overall emotional state?,It's negative.,Insecurity and envy,0,0.0,0.0935,0.8029,0.004,0.107,0.086,0.086,1.0,EQUIVALENT
135,What is Emma's main concern about Jake's message?,She fears bad news.,Emma's main concern is the potential outcome of the job opportunity and the possibility that Jake might not deliver the favorable news she hopes for.,0,0.069,0.5084,0.9162,0.0928,0.1426,0.7853,0.7853,1.0,EQUIVALENT
136,How might Emma feel if Jake doesn't respond?,She might feel let down.,"Emma would likely feel disappointed and worried if Jake doesn't respond, as she was relying on his message for crucial information about a job opportunity, and his silence could be perceived as a lack of interest or support.",0,0.093,0.3243,0.859,0.0966,0.1379,0.5338,0.5338,0.5,PARTIAL
137,What does Emma hope for from Jake?,She hopes for a job offer.,Emma hopes for positive news or valuable information regarding a job opportunity from Jake.,0,0.4,0.5748,0.9013,0.1203,0.1781,0.9785,0.9785,1.0,EQUIVALENT
138,How fearful is Emily about her excuse?,Very fearful.,Emily is fearful about her excuse due to her concern about the potential negative consequences and the need to maintain a good relationship with her teacher.,0,0.0,0.3955,0.8693,0.0919,0.1282,0.9789,0.9789,0.5,PARTIAL
139,How effective does Emily feel about her excuse?,Not effective.,Emily feels her excuse is not very effective due to her anxiety and concern about Mr. Smith's reaction.,0,0.1,0.2837,0.8675,0.0626,0.1243,0.9895,0.526,1.0,EQUIVALENT
140,How negative is Emily's outlook on her situation?,Quite negative.,"Emily's outlook on her situation is highly negative, as she is consumed by anxiety and concern over potential negative outcomes resulting from her teacher's possible disbelief in her",0,0.0,0.2086,0.8594,0.0935,0.1214,0.964,0.964,0.0,NOT_EQUIVALENT
141,How disappointed does Emma feel about the misunderstanding?,Very disappointed.,"Emma felt disappointed and hurt due to the misunderstanding, but her actions towards reconciliation show that her disappointment was not absolute and that she still cared deeply for Jake and their relationship.",0,0.0,0.2251,0.8152,0.0677,0.1138,0.9632,0.9632,0.5,PARTIAL
142,What hope does Emma have after approaching Jake?,Hope for reconciliation.,Emma hopes for a heartfelt reconciliation and a deeper understanding with Jake after approaching him to clarify their misunderstanding.,0,0.0909,0.4831,0.923,0.1106,0.167,0.9864,0.9864,1.0,EQUIVALENT
143,How fulfilled is Emma's sense of connection with Jake after reconciliation?,Highly fulfilled.,"Emma's sense of connection with Jake is likely significantly fulfilled after the reconciliation, as the process of open communication and heartfelt reconciliation would have strengthened their bond and restored trust, leading to a deeper emotional connection.",0,0.0,0.2219,0.9365,0.112,0.1548,0.9676,0.9676,1.0,EQUIVALENT
144,How disappointed is Alice with Bob's actions?,Very disappointed.,"Alice is likely deeply disappointed and betrayed by Bob'ainections, as they not only breach her trust but also rob her of the recognition she rightfully deserves for her contributions to the project. The extent of her disappointment could be significant, potentially leading to feelings of resentment and a desire for rectification or justice.",0,0.0,0.2683,0.8536,0.0958,0.1239,0.9721,0.9721,1.0,EQUIVALENT
145,How fulfilled is Alice in her relationship with Bob?,Not fulfilled.,"Alice is likely not fulfilled in her relationship with Bob due to the breach of trust and lack of recognition for her contributions, leading to feelings of betrayal, devaluation, and emotional distress.",0,0.0588,0.2995,0.8856,0.084,0.1151,0.9894,0.9894,1.0,EQUIVALENT
146,How angry is Alice about Bob's actions?,Quite angry.,"Alice is likely very angry about Bob's actions, as they not only violated her trust but also disregarded her contributions to the project.",0,0.0,0.271,0.8828,0.0806,0.1216,0.9797,0.9797,1.0,EQUIVALENT
147,How does Dr. Lisa feel about Mark's actions?,Very negative.,"Dr. Lisa feels betrayed and anxious due to her suspicion that Mark has fabricated lab data, which threatens the trust and integrity of their research.",0,0.0,0.055,0.7624,0.0142,0.1156,0.3839,0.3839,1.0,EQUIVALENT
148,How does Dr. Lisa view her colleagues after this incident?,She feels disappointed.,"Dr. Lisa now views her colleagues with skepticism and wariness, questioning their integrity and the validity of their work.",0,0.0,0.2296,0.863,0.0245,0.132,0.4704,0.4704,0.5,PARTIAL
149,How secure does Dr. Lisa feel in her work environment?,She feels insecure.,Dr. Lisa likely feels insecure and distrustful in her work environment due to the breach of trust and potential compromise of scientific integrity.,0,0.0769,0.4674,0.9044,0.1072,0.1255,0.9906,0.9906,1.0,EQUIVALENT
150,How does Sarah feel about her mistake?,She feels anxious.,"Sarither, Sarah is anxious and defensive about her mistake, as she is worried about the potential damage to her reputation and is attempting to avoid personal accountability by blaming Tom.",0,0.0606,0.4161,0.8238,0.1004,0.1245,0.9812,0.9812,0.5,PARTIAL
151,How does Tom feel after being blamed?,He feels confused.,"Tom feels confused, hurt, and possibly unfairly targeted, leading to anxiety and a sense of injustice.",0,0.1053,0.4967,0.9265,0.0909,0.1318,0.9817,0.9817,0.5,PARTIAL
152,What emotion does Tom experience towards Sarah's actions?,He feels hurt.,Tom experiences confusion and hurt towards Sarah's actions.,0,0.0,0.3697,0.9326,0.0957,0.1615,0.9884,0.9884,1.0,EQUIVALENT
153,How disappointed is Emily with her project?,Very disappointed.,Emily is significantly disappointed with her project.,0,0.0,0.3704,0.9734,0.1172,0.1922,0.9862,0.9862,1.0,EQUIVALENT
154,How effective does Emily feel about her project?,Not effective at all.,Emily feels that her project is ineffective and not worth the continued investment of her time and energy.,0,0.0909,0.2861,0.9214,0.1043,0.1675,0.9617,0.533,1.0,EQUIVALENT
155,What hope does Emily have for her future?,Hope for better focus.,"Emily hopes to discover a more fulfilling path in her future, one that aligns with her values and brings her a sense of accomplishment and contentment, as opposed to being trapped in a fruitless and stressful situation.",0,0.0,0.2825,0.8289,0.0699,0.125,0.1711,0.1711,0.5,PARTIAL
156,How does Emma feel about her application?,She feels anxious.,Anxious and guilty.,0,0.0,0.562,0.932,0.1161,0.1498,0.9813,0.9813,1.0,EQUIVALENT
157,How does Emma view her academic performance?,She feels inadequate.,Emma views her academic performance as poor and worries that it could lead to rejection from her study abroad program if discovered.,0,0.0,0.3292,0.86,0.0573,0.1221,0.5018,0.5018,1.0,EQUIVALENT
158,What is Lily afraid of regarding Max's new friends?,Losing their friendship.,"Lily is afraid that Max might prioritize his new friends over their existing friendship, potentially leading to a neglect or forgetting of their bond.",0,0.0741,0.3978,0.9374,0.0638,0.1818,0.9549,0.9549,1.0,EQUIVALENT
159,How secure does Lily feel about her friendship with Max?,Very insecure.,Lily feels insecure and anxious about her friendship with Max.,0,0.0,0.3199,0.9661,0.0983,0.1786,0.9852,0.9852,1.0,EQUIVALENT
160,How attached is Lily to her friendship with Max?,Very attached.,"Lily is highly attached to her friendship with Max, as her anxiety and concern about being forgotten highlight the significant emotional value she places on their relationship.",0,0.0,0.1979,0.9422,0.0942,0.1386,0.9873,0.9873,1.0,EQUIVALENT
161,How does Emma view her career search?,It's crucial for her identity.,"Emma perceives her career search as a journey towards discovering her true purpose and happiness, filled with uncertainty and a need for support and advice.",0,0.1333,0.3209,0.8465,0.0692,0.1413,0.3082,0.3082,1.0,EQUIVALENT
162,How effective does Emma feel in her career exploration?,She feels ineffective.,Emma feels uncertain and possibly ineffective in her career exploration.,0,0.1538,0.5037,0.945,0.1134,0.1752,0.9901,0.9901,0.5,PARTIAL
163,What is Emma's outlook on finding purpose?,She feels uncertain but hopeful.,Emma'eedly uncertain and in search of guidance or reassurance about finding her career purpose.,0,0.1053,0.4726,0.892,0.1116,0.1562,0.6899,0.6899,0.0,NOT_EQUIVALENT
164,How does Sarah feel about her work environment?,Very negative.,Sarah feels overwhelmed and negatively affected by her work environment due to the constant criticism from her boss.,0,0.0,0.1471,0.885,0.0638,0.1308,0.9818,0.9818,1.0,EQUIVALENT
165,How does Sarah view her colleagues' support?,Disappointed.,"Sarah likely feels unsupported or neglected by her colleagues in dealing with the work environment, as her primary concern seems to be the constant criticism from her boss, leading to her resignation.",0,0.0,0.1532,0.8624,0.02,0.1121,0.2755,0.2755,1.0,EQUIVALENT
166,How does Sarah perceive her self-worth at work?,Low self-esteem.,"Sarah perceives her self-worth at work as negatively impacted by her boss's constant criticism, leading her to feel overwhelmed and ultimately resign, as she believes she is not valued or respected in her professional environment.",0,0.0,0.3989,0.8764,0.0772,0.1144,0.498,0.498,1.0,EQUIVALENT
167,How secure does Emily feel at work?,Very insecure.,"Emily does not feel secure at work due to the inappropriate behavior of her colleague, which disrupts the professional environment and makes her feel uncomfortable and disrespected.",0,0.0,0.3886,0.884,0.0852,0.1125,0.9193,0.9193,1.0,EQUIVALENT
168,How connected does Emily feel to her team?,Not connected.,"Emily feels quite connected to her team, as she is concerned about the impact of inappropriate behavior on the team's overall environment and is likely invested in upholding a respectful and professional atmosphere.",0,0.0,0.1416,0.8708,0.0519,0.1061,0.9763,0.5141,0.0,NOT_EQUIVALENT
169,What is Emily's overall sentiment about her workplace?,Highly negative.,"Emily's overall sentiment about her workplace is negative, as she perceives the inappropriate jokes as crossing professional boundaries and causing discomfort, which disrupts her sense of a respectful and professional environment.",0,0.0,0.2111,0.8379,0.0948,0.1195,0.9713,0.9713,1.0,EQUIVALENT
170,How angry does Jamie feel about the route choice?,Very angry.,"Jamie feels quite angry and frustrated about the route choice, as it directly impacts their urgency to arrive on time and reflects a lack of consideration for a more efficient path.",0,0.0,0.3035,0.8871,0.1009,0.1363,0.9848,0.9848,1.0,EQUIVALENT
171,What fear does Jamie have regarding the ride?,Fear of being late.,"Jamie fears that taking a longer route will cause them to be late for their destination, due to concerns about time management and punctuality.",0,0.0,0.555,0.849,0.1157,0.1565,0.9604,0.9604,1.0,EQUIVALENT
172,How connected does Jamie feel to Alex during the ride?,Not connected.,"Jamie likely feels somewhat disconnected from Alex during the ride, as their differing approaches to the journey highlight a lack of alignment in their immediate goals and emotional responses.",0,0.0,0.1818,0.9012,0.0544,0.1267,0.6215,0.3379,1.0,EQUIVALENT
173,How does Emma feel about sharing study materials?,She feels anxious.,Emma feels anxious and uncomfortable about sharing study materials due to her fear of falling behind in her final exam performance.,0,0.0833,0.5169,0.9146,0.1157,0.1516,0.9882,0.9882,1.0,EQUIVALENT
174,What does Emma think about her exam preparation?,She feels insecure.,Emma is worried about her own exam preparation and fears she may not perform well due to the unfair distribution of study materials by her friend Jake.,0,0.0667,0.2465,0.84,0.0687,0.1276,0.5053,0.5053,1.0,EQUIVALENT
175,How does Emily feel about the rumors?,Very negative.,"Emily feels betrayed and anxious about the rumors about Jake's potential infidelity, as it casts doubt on the authenticity and stability of their friendship.",0,0.0,0.0619,0.8144,0.0181,0.1138,0.501,0.501,1.0,EQUIVALENT
176,How connected does Emily feel to Jake now?,Disconnected.,Emily feels less connected to Jake now due to the breach of trust and the resulting feelings of betrayal and anxiety about their friendship.,0,0.0,0.211,0.8709,0.0705,0.1218,0.9873,0.9873,0.5,PARTIAL
177,What is Emily's emotional reaction to the rumors?,She fears losing Jake.,Emily's emotional reaction to the rumors is one of betrayal and anxiety.,0,0.0,0.4469,0.8407,0.025,0.1117,0.5768,0.5768,1.0,EQUIVALENT
178,How angry does Alex feel about the cost sharing?,Very angry,Alex is likely experiencing a high level of anger and frustration regarding the cost sharing in the carpool arrangement.,0,0.0,0.3166,0.8188,0.0862,0.1512,0.7725,0.7725,1.0,EQUIVALENT
179,Is Alex disappointed in Jamie's contribution?,"Yes, very disappointed","Yes, Alex is disappointed in Jamie'aine contribution to the carpooling costs.",0,0.2857,0.3286,0.8445,0.0865,0.1359,0.9861,0.5363,0.5,PARTIAL
180,What fear does Emma experience about leaving Jake?,Fear of the unknown.,Emma fears the uncertainty and challenges associated with starting a new life after leaving her toxic relationship with Jake.,0,0.087,0.3861,0.8844,0.0795,0.1603,0.3874,0.3874,1.0,EQUIVALENT
181,How does Emma feel about her relationship with Jake?,She feels it was harmful.,"Emma feels negatively about her relationship with Jake, as she perceives it as toxic and unhealthy, and believes she deserves better.",0,0.2308,0.3452,0.8958,0.0914,0.1568,0.9806,0.9806,1.0,EQUIVALENT
182,How does Emma's decision impact her self-esteem?,It boosts her self-worth.,"Emma's decision to leave her toxic relationship likely boosts her self-esteem. It empowers her to recognize her own value and right to a healthy relationship, reinforcing her self-worth and belief in her ability to make decisions that serve her best interests.",0,0.1333,0.4416,0.8673,0.1162,0.1362,0.9896,0.9896,1.0,EQUIVALENT
183,How angry does Sarah feel about the dog's barking?,Very angry.,"Sarah feels quite angry and frustrated about the dog's barking, as it significantly disrupts her ability to function normally and affects her work performance.",0,0.0,0.3279,0.8752,0.0641,0.1536,0.9678,0.9678,1.0,EQUIVALENT
184,Does Sarah feel secure in her home due to the noise?,"No, she feels insecure.","No, Sarah does not feel secure in her home due to the noise.",0,0.1176,0.4845,0.9488,0.1179,0.193,0.9874,0.9874,1.0,EQUIVALENT
185,How negative is Sarah's experience with the barking?,Highly negative.,"Sarah's experience with the barking is highly negative, as it directly interferes with her sleep and work focus, leading to frustration and potential stress.",0,0.0769,0.22,0.899,0.0743,0.1323,0.9889,0.9889,1.0,EQUIVALENT
186,What fear does Emily experience regarding Jake?,Fear of losing their friendship.,"Emily fears that she may have misread Jake'ainexchange and that the rumors of infidelity could be true, potentially damaging their friendship.",0,0.2308,0.4601,0.8987,0.0939,0.13,0.9674,0.9674,1.0,EQUIVALENT
187,How does Emily's self-esteem relate to the rumors?,She feels insecure about her worth.,"Emily'eed self-esteem is interconnected with her feelings of betrayal and anxiety due to the rumors, as these feelings could undermine her sense of self-worth and the perceived value of her relationship with Jake. The uncertainty about the truth of the rumors and her role in the friendship could negatively impact her self-esteem.",0,0.069,0.4429,0.8814,0.1253,0.1445,0.9869,0.9869,1.0,EQUIVALENT
188,What negative feelings does Emily have about the situation?,She feels betrayed and anxious.,"Emily is experiencing feelings of betrayal and anxiety due to the rumors of Jake's potential involvement with another person, causing her to question the authenticity of their friendship.",0,0.0606,0.5158,0.8385,0.1113,0.1266,0.957,0.957,1.0,EQUIVALENT
189,How does Emily feel about her abilities?,She feels inadequate.,Emily feels insecure and undervalued about her abilities.,0,0.1818,0.4818,0.9159,0.1172,0.1583,0.5892,0.5892,1.0,EQUIVALENT
190,How does Emily perceive her classmates' support?,She feels unsupported.,"Emily perceives her classmates' support as lacking or insufficient, making her feel overlooked and undervalued in comparison to Jake's praise from Mr. Smith.",0,0.0,0.2723,0.8383,0.084,0.1268,0.4926,0.4926,1.0,EQUIVALENT
191,How does Sarah feel about herself after the message?,Very low self-esteem.,Sarah feels embarrassed and panicked about herself due to her fear of being judged by others after accidentally sending a private message to the entire group.,0,0.0,0.273,0.7743,0.049,0.118,0.0991,0.0991,1.0,EQUIVALENT
192,How connected does Sarah feel to the group after the incident?,She feels disconnected.,"Sarah feels significantly disconnected and uncomfortable within the group after the incident, as her mistake has led to a breach of privacy and potential judgment from others, undermining her sense of belonging and trust in the group.",0,0.05,0.52,0.8695,0.1043,0.133,0.9869,0.9869,1.0,EQUIVALENT
193,What is Sarah's emotional response to the mistake?,Highly negative.,Sarah feels embarrassed and anxious due to the breach of privacy and fears judgment from her peers.,0,0.0,0.0233,0.8362,0.0033,0.0979,0.2008,0.2008,1.0,EQUIVALENT
194,How does Liam feel about his connection with Jake?,He feels disconnected.,"Liam feels apprehensive about his connection with Jake due to his worry that Jake's disdain for people who hide their true feelings might affect their friendship, especially because Liam himself is struggling with openness.",0,0.0541,0.4415,0.8549,0.0766,0.1158,0.7046,0.7046,1.0,EQUIVALENT
195,What does Liam feel about being open with Jake?,He feels insecure.,Liam feels apprehensive about being open with Jake due to his fear of disapproval or judgment based on Jake's expressed disdain for people who hide their true feelings.,0,0.0645,0.3727,0.8633,0.0864,0.1407,0.8993,0.8993,1.0,EQUIVALENT
196,What emotion does Liam experience regarding Jake's opinion?,He feels fearful.,Anxiety and apprehension,0,0.0,0.5134,0.9313,0.1164,0.1493,0.9253,0.9253,1.0,EQUIVALENT
197,How does Mark feel about Lisa's non-repayment?,Very disappointed.,Mark feels betrayed and frustrated due to Lisa's non-repayment of the money he lent her.,0,0.0,0.1423,0.9098,0.0429,0.1476,0.9499,0.9499,1.0,EQUIVALENT
198,What emotion does Mark experience towards Lisa?,Anger.,Mark experiences feelings of betrayal and frustration towards Lisa.,0,0.0,0.3112,0.8888,0.0463,0.1253,0.9882,0.9882,1.0,EQUIVALENT
199,How secure does Mark feel about his finances now?,Less secure.,"Mark likely feels insecure about his finances now due to the unresolved debt and the lack of trust in Lisa's ability to repay, which has caused both financial and emotional strain.",0,0.0,0.1598,0.8511,0.0862,0.1194,0.6427,0.6427,1.0,EQUIVALENT
200,How does Emma feel about her ability to succeed?,She feels inadequate.,Emma feels uncertain and anxious about her ability to succeed at work due to her concerns about disappointing her team and the overwhelming pressure she faces.,0,0.1379,0.4497,0.8353,0.0679,0.1282,0.7524,0.7524,1.0,EQUIVALENT
201,What is Emma's primary concern regarding her work?,Fear of failure.,Emma's primary concern is the fear of failure and the potential disappointment of her team due to the high pressure to succeed at work.,0,0.1481,0.6129,0.8607,0.1132,0.1456,0.9903,0.9903,1.0,EQUIVALENT
202,How does Emma view herself in relation to her team?,She doubts her worth.,"Emma views herself as someone who cares about her team's perception and is concerned about the potential disappointment she might cause if she fails, indicating a desire to maintain a positive image and contribute positively to the team's dynamics.",0,0.093,0.3213,0.811,0.0694,0.1139,0.3094,0.3094,0.5,PARTIAL
203,How does Mia feel about her parents' understanding?,Very angry,"Mia feels that her parents lack understanding and empathy towards her, leading to her feeling misunderstood and causing her to rebel by skipping school.",0,0.0,0.1644,0.8373,0.0119,0.1169,0.0955,0.0955,0.5,PARTIAL
204,How connected does Mia feel to her parents?,Not connected,Mia feels significantly disconnected from her parents due to a perceived lack of understanding and communication.,0,0.0,0.1794,0.9017,0.0555,0.1375,0.9677,0.5116,1.0,EQUIVALENT
205,How does Mia view herself in relation to her parents?,Low self-esteem,"Mia views herself as disconnected and misunderstood by her parents, leading to feelings of frustration and rebellion.",0,0.0,0.3313,0.8735,0.0175,0.1117,0.0499,0.0499,0.5,PARTIAL
206,How does Emma feel about her exam failure?,Very disappointed.,"Emma feels disappointed and possibly regretful about her exam failure, with a sense of self-doubt and a desire to improve her study habits.",0,0.0,0.3049,0.9018,0.1005,0.1481,0.9859,0.9859,0.5,PARTIAL
207,How does Emma's failure affect her self-esteem?,Significantly diminished.,"Emma's self-esteem is negatively impacted due to her failure, as she may perceive it as a sign of her inadequacy or lack of effort, despite her friend's encouragement.",0,0.0,0.2848,0.8872,0.0813,0.1389,0.8977,0.8977,1.0,EQUIVALENT
208,What does Jake's encouragement suggest about Emma's future?,There is hope.,"Jake's encouragement suggests that Emma has the potential to improve and succeed in the future, as he believes in her ability to learn from her failure and is supportive of her efforts to try again.",0,0.0526,0.2531,0.8964,0.0924,0.1553,0.5933,0.5933,1.0,EQUIVALENT
209,How does Emily feel about her exam grade?,She feels devastated.,Emily feels disappointed and upset about her exam grade.,0,0.1667,0.4563,0.952,0.101,0.1819,0.9736,0.9736,0.5,PARTIAL
210,How does Emily's exam result affect her self-esteem?,It lowers her self-esteem.,"Emily's self-esteem is negatively affected as her exam result did not meet her expectations, leading her to question her abilities and feel less confident in her academic skills.",0,0.0625,0.4848,0.9416,0.1103,0.1628,0.9223,0.9223,1.0,EQUIVALENT
211,What is Emily's emotional response to her grade?,She feels negative and upset.,Emily's emotional response to her grade is devastation and confusion.,0,0.1333,0.4702,0.9104,0.0941,0.1517,0.7918,0.7918,1.0,EQUIVALENT
212,How does Sarah feel about Tom's feedback?,She feels anxious.,"Sarah feels anxious and perceives Tom's feedback as criticism, which makes her believe she is failing at her job.",0,0.1818,0.4615,0.9054,0.1042,0.1467,0.9878,0.9878,0.5,PARTIAL
213,How does Sarah perceive her performance after the meeting?,She feels inadequate.,Sarah perceives her performance as failing due to her misinterpretation of Tom's feedback as criticism.,0,0.0,0.3414,0.832,0.0632,0.1294,0.4371,0.4371,1.0,EQUIVALENT
214,What is Sarah's overall reaction to the feedback?,She interprets it negatively.,"Sarah's overall reaction to the feedback is anxiety and self-doubt, as she interprets it as criticism and internalizes it as evidence of her professional inadequacy.",0,0.2069,0.4847,0.8608,0.1043,0.1384,0.8739,0.8739,0.5,PARTIAL
215,What is Emma afraid of regarding her artwork?,Fear of judgment.,Emma is afraid of negative judgment or rejection from Jake regarding her artwork.,0,0.125,0.3791,0.9075,0.1151,0.1517,0.9884,0.9884,1.0,EQUIVALENT
